key	value	YENİSİ
23.page[0]	The Key (Al-Fãtehah) 1:1-7	Anahtar (El-Fatiha) 1:1-7
23.page[1]	1	1
23.sura.1.verses.1	In the name of GOD, Most Gracious, Most Merciful.*	En Lütufkâr ve En Merhametli Olan TANRI’nın adıyla.*
23.sura.1.verses.2	Praise be to GOD, Lord of the universe.	Kâinatın Rabbi olan TANRI’ya övgüler olsun.
23.sura.1.verses.3	Most Gracious, Most Merciful. 	En Lütufkâr ve En Merhametli.
23.sura.1.verses.4	Master of the Day of Judgment.	Yargı Günü’nün Sahibi.
23.sura.1.verses.5	You alone we worship. You alone we ask for help.	Yalnızca Sana taparız. Yalnızca Senden yardım isteriz.
23.sura.1.verses.6	Guide us in the right path;	Bize doğru yolda rehberlik et;
23.sura.1.verses.7	the path of those whom You blessed; not of those who have deserved wrath, nor of the strayers.	Senin nimetlendirdiklerinin yolunda; ne gazabı hak etmişlerin ne de sapmışların.
23.sura.1.titles.1	♦ ♦ ♦ ♦\nSura 1: The Key\n(Al-Fãtehah)	♦ ♦ ♦ ♦\nSure 1: Anahtar\n(El-Fatiha)
23.notes.data[0]	*1:1 The first verse in the Quran represents the foundation upon which a superhuman 19-based mathematical miracle is built. This important statement consists of 19 Arabic letters, and every word in it occurs in the whole Quran in multiples of 19 (see Appendices 1 & 29 for the details).	*1:1 Kuran'ın ilk ayeti, insanüstü 19-tabanlı matematiksel mucizenin üzerine inşa edildiği temeli temsil eder. Bu önemli ifade 19 Arapça harften oluşmaktadır ve içindeki her kelime tüm Kuran'da 19'un katları şeklinde geçmektedir (ayrıntılar için Ek 1 ve 29'a bakınız).
23.notes.data[1]	*1:1-7 Sura 1 is God’s gift to us to establish contact with Him through the daily Contact Prayers. This fact is supported by an earth-shattering, simple-to-understand-but-impossible-to-imitate mathematical composition that challenges the greatest mathematicians on earth, and stumps them; it is far beyond human capabilities:	*1:1-7 Sure 1, günlük İletişim Dualarıyla O'nunla irtibat kurmamız için Tanrı'nın bize hediyesidir. Bu gerçek, dünyadaki en büyük matematikçileri zorlayan ve onları şaşkına çeviren, dünyayı sarsan, anlaşılması kolay ama taklit edilmesi imkansız bir matematiksel yapı ile desteklenmektedir; insan kapasitesinin çok ötesindedir:
23.notes.data[2]	(1) The sura number, followed by the numbers of verses, next to each other, give 1 1 2 3 4 5 6 7. This number is a multiple of 19.	(1) Sure numarası, ardından ayet numaraları yan yana yazıldığında 1 1 2 3 4 5 6 7 sayısını verir. Bu sayı 19’un katıdır.
23.notes.data[3]	(2) If we substitute the number of letters per verse in place of verse numbers, we get 1 19 17 12 11 19 18 43. This number is also a multiple of 19.	(2) Eğer ayet numaralarının yerine her bir ayetteki harf sayısını yazarsak 1 19 17 12 11 19 18 43 sayısını elde ederiz. Bu sayı da 19’un katıdır.
23.notes.data[4]	(3) If we insert the total gematrical value of every verse, we get 1 19 786 17 581 12 618 11 241 19 836 18 1072 43 6009. This number is a multiple of 19.	(3) Eğer her bir ayetin sayısal değerini aralara eklersek 1 19 786 17 581 12 618 11 241 19 836 18 1072 43 6009 sayısını elde ederiz. Bu sayı 19’un katıdır.
23.notes.data[5]	(4) The number shown above includes all parameters of Sura 1, and consists of 38 digits (19x2).	(4) Üstteki sayı, Sure 1’ in tüm parametrelerini içermekte ve 38 basamaktan oluşmaktadır. (19 x 2)
23.notes.data[6]	(5) It is noteworthy that this 38-digit number is still divisible by 19 when we write its components backwards, from right to left, as practiced by the Arabs.\n\nThus, 6009 43 1072 18 836 19 241 11 618 12 581 17 786 19 1 is also a multiple of 19.	(5) Bu 38 basamaklı sayının bileşenlerini Arapların uyguladığı gibi sağdan sola, geriye doğru yazdığımızda hâlâ 19’a bölünebilmesi takdire şayandır.\n\nYani, 6009 43 1072 18 836 19 241 11 618 12 581 17 786 19 1 sayısı da 19’un katıdır.
23.notes.data[7]	(6) The mathematical representations mentioned above participate in numerous extraordinary mathematical phenomena to confirm all details of the five daily Contact Prayers (Appendix 15).	(6) Yukarıda belirtilen matematiksel semboller, günlük beş vakit İletişim Duasının tüm detaylarını doğrulamak için çok sayıda olağanüstü matematiksel olguya katkıda bulunmaktadır (Ek 15).
23.notes.data[8]	(7) Many more astounding phenomena are given in Appendix 1. Thus, the reader is handed, at the outset, tangible proof that this is God’s message to the world.	(7) Daha pek çok hayret verici olgu Ek 1’de verilmiştir. Böylece okuyucuya, en baştan bunun Tanrı’nın dünyaya mesajı olduğuna dair elle tutulur bir kanıt verilmiş olur.
23.notes.tables[0].title[0]	Verse #	Ayet Numarası
23.notes.tables[0].title[1]	No of Letters	Harf Sayısı
23.notes.tables[0].title[2]	Gematrical Value	Sayısal Değer
23.notes.tables[0].values[0]	1	1
23.notes.tables[0].values[1]	19	19
23.notes.tables[0].values[2]	786	786
23.notes.tables[0].values[3]	2	2
23.notes.tables[0].values[4]	17	17
23.notes.tables[0].values[5]	581	581
23.notes.tables[0].values[6]	3	3
23.notes.tables[0].values[7]	12	12
23.notes.tables[0].values[8]	618	618
23.notes.tables[0].values[9]	4	4
23.notes.tables[0].values[10]	11	11
23.notes.tables[0].values[11]	241	241
23.notes.tables[0].values[12]	5	5
23.notes.tables[0].values[13]	19	19
23.notes.tables[0].values[14]	836	836
23.notes.tables[0].values[15]	6	6
23.notes.tables[0].values[16]	18	18
23.notes.tables[0].values[17]	1072	1072
23.notes.tables[0].values[18]	7	7
23.notes.tables[0].values[19]	43	43
23.notes.tables[0].values[20]	6009	6009
23.notes.tables[0].values[21]	Totals	Toplamlar
23.notes.tables[0].values[22]	139	139
23.notes.tables[0].values[23]	10143	10143
24.page[0]	2	2
24.page[1]	The Heifer (Al-Baqarah) 2:1-8	Düve (El-Bakara) 2:1-8
24.sura.2.verses.1	A.L.M.*	A.L.M.*
24.sura.2.verses.2	This scripture is infallible; a beacon for the righteous;	Bu kutsal yazı hatasızdır ve doğrular için bir işaret ışığıdır;
24.sura.2.verses.3	who believe in the unseen, observe the Contact Prayers (Salat),* and from our** provisions to them, they give to charity.	onlar görülmeyene inanırlar, İletişim Dualarını (Namazlarını)* gözetirler ve kendilerine verdiğimiz** rızıklardan bağışta bulunurlar.
24.sura.2.verses.4	And they believe in what was revealed to you, and in what was revealed before you, and with regard to the Hereafter, they are absolutely certain.*	Ve sana vahyedilene de senden önce vahyedilmiş olana da inanırlar, Ahiret hakkında ise tam bir kesinlik içindedirler.*
24.sura.2.verses.5	These are guided by their Lord; these are the winners.	İşte bunlar Rableri tarafından rehberlik edilenlerdir; bunlar kazananlardır.
24.sura.2.verses.6	As for those who disbelieve, it is the same for them; whether you warn them, or not warn them, they cannot believe.*	İnkâr edenlere gelince, onları uyarsan da uyarmasan da onlar için fark etmez, onlar inanamazlar.*
24.sura.2.verses.7	GOD seals their minds and their hearing, and their eyes are veiled. They have incurred severe retribution.	TANRI onların zihinlerini ve işitmelerini mühürler, gözleri de perdelidir. Onlar şiddetli azabı üzerlerine çekmişlerdir.
24.sura.2.verses.8	Then there are those who say, “We believe in GOD and the Last Day,” while they are not believers.	Sonra inanan olmadıkları hâlde “Biz TANRI’ya ve Son Gün’e inanıyoruz” diyenler vardır.
24.sura.2.titles.1	♦ ♦ ♦ ♦\nSura 2: The Heifer\n(Al-Baqarah)\nIn the name of God, Most Gracious, Most Merciful	♦ ♦ ♦ ♦\nSure 2: Düve\n(El-Bakara)\nEn Lütufkâr ve En Merhametli Olan Tanrı’nın adıyla.
24.sura.2.titles.3	Three Categories of People\n\n(1) The Righteous.	İnsanların Üç Kategorisi:\n(1) Doğrular
24.sura.2.titles.6	(2) The Disbelievers 	(2) İnkârcılar
24.sura.2.titles.8	(3) The Hypocrites 	(3) İkiyüzlüler
24.notes.data[0]	*2:1 These initials remained a divinely guarded secret for 1400 years. Now we recognize them as a major component of the Quran’s extraordinary mathematical code (see Appendices 1, 2, 24, and 26). The meaning of A.L.M. is pointed out in Verse 2: “This scripture is infallible.” This is incontrovertibly proven by the fact that the frequencies of occurrence of these three initials in this sura are 4502, 3202, and 2195, respectively. The sum of these numbers is 9899, or 19x521. Thus, these most frequent letters of the Arabic language are mathematically placed according to a super-human pattern. These same initials also prefix Suras 3, 29, 30, 31, and 32, and their frequencies of occurrence add up to multiples of 19 in each one of these suras.	*2:1 Bu başlangıç harfleri, 1400 yıl boyunca ilahi bir şekilde korunan sır olarak kaldı. Bunların Kuran’ın olağanüstü matematiksel kodunun önemli bir bileşeni olduğunu şimdi fark ediyoruz (bkz. Ek 1, 2, 24 ve 26). A.L.M.’ in anlamı 2. ayette belirtilmektedir: “Bu kutsal yazı hatasızdır.” Bu durum, bu üç başlangıç harfinin bu suredeki geçiş sıklıklarının sırasıyla 4502, 3202 ve 2195 olduğu gerçeğiyle tartışmasız bir şekilde kanıtlanmıştır. Bu sayıların toplamı 9899 veya 19 x 521’dir. Yani, Arapça dilinin bu en sık kullanılan harfleri, insanüstü bir örüntüye göre matematiksel olarak yerleştirilmiştir. Bu aynı başlangıç harfleri Sure 3, 29, 30, 31 ve 32’nin başına da yerleştirilmiştir ve bu harflerin  bu surelerin her birinde geçiş sıklıklarının toplamı da 19’un katıdır.
